brand_id,brand_name,parent_company,brand_tier,description,website_url,year_established,is_active,created_at
1,Bella Vista,,Premium,"Score each cause. Quality throughout beautiful instead.
Despite measure ago current.",https://lee.com/,1981,t,2023-06-16 14:34:30
2,Urban Thread,,Value,"Herself law street class. Decide environment view possible participant commercial.
Left establish understand read. Range successful simply director allow.",http://www.henderson.info/,2019,t,2021-01-28 05:52:35
3,Coastal Chic,Hickman Ltd,Fast Fashion,"Team activity result race Mr environment political. Fall citizen about reveal.
Seven medical blood personal success medical current. Several much single morning a food.
Upon these story film.",http://carney-santos.info/,1961,f,2022-12-27 05:49:43
4,Metro Style,,Contemporary,Building different full open discover detail audience. Arrive attack all form method everything magazine much. Office drug list imagine behind probably great.,http://www.kidd.com/,1953,t,2024-07-24 19:03:36
5,Classic Craft,,Luxury,Loss ten total clearly able hospital unit. Expect recent room situation product main couple. Why often my security arm.,https://smith.org/,2019,t,2021-06-11 15:32:37
6,Modern Muse,,Luxury,"Defense enter value thing these hard citizen. Region particularly would pressure account stage federal.
Enough threat score choice. Painting response data plant enough.",http://www.johnson.biz/,1985,t,2021-02-28 14:35:14
7,Sunset Styles,Rasmussen LLC,Luxury,"Half value win always group.
Government nice themselves wind. Understand door class son.
Agent say forward us soon ten. Environment skin blue the teach.",https://zavala.com/,1970,t,2021-04-12 06:31:46
8,City Casual,,Fast Fashion,"Oil worker although others. Rock finish paper memory history office.
Remember ability understand. Rather vote say culture issue we TV.",http://jackson.org/,1969,t,2024-06-19 17:22:40
9,Elite Edge,,Contemporary,Pull different current agency each. Particularly shoulder lay though offer responsibility himself.,https://briggs.net/,1963,t,2022-02-28 23:44:24
10,Vintage Vibe,,Fast Fashion,"Late seem style everyone sing machine dream. Back experience even floor music catch.
Really relationship ask imagine my indeed. Strategy hope show watch affect.",http://elliott.com/,1994,t,2022-08-19 23:52:49
11,Fresh Fashion,,Luxury,"Anyone here deep force. Everything week instead strong like see. Yourself glass practice.
Wear current after.
Call prove nor design record. Cold parent security boy standard who.",https://hunter.com/,2008,t,2024-06-03 21:34:37
12,Bold Basics,,Value,Black whether player stock religious itself safe. Pattern try simple let stay. Environmental system store beautiful think during let particular.,https://schmidt.com/,1998,t,2024-05-08 01:29:28
13,Luxe Label,,Fast Fashion,"Fill discover return firm sea. Course school everybody operation. Others wonder strategy fast guess few remain.
Animal approach factor want point. Bill activity expect long future whole education.",http://kerr-evans.org/,1996,f,2022-03-26 19:27:47
