product_id,product_name,brand,category_l1,category_l2,category_l3,created_at,gender_target,is_active,launch_date,material,price_range,season,sustainability_score,care_instructions
P000001,Digitized full-range synergy Yoga,Vintage Vibe 2,Yoga,Running,,2023-11-26 10:43:01,Unisex,True,2024-03-28,Cashmere,$100-150,Fall,13,Dry clean only
P000002,Monitored foreground concept Mens Clothing,Luxe Label,Mens Clothing,Tops,,2025-02-02 03:40:37,Unisex,True,2025-08-13,Silk,$100-150,Spring,56,Machine wash cold
P000003,Cross-group tertiary secured line Running,Metro Style,Running,,,2025-02-04 10:02:01,Men,False,2025-04-14,Silk,$150-200,Summer,52,Machine wash warm
P000004,Managed local access Mens Clothing,Fresh Fashion 2,Mens Clothing,,,2024-04-20 00:12:51,Women,True,2024-03-06,Cotton,$30-50,Winter,33,Machine wash warm
P000005,Fully-configurable system-worthy architecture Jewelry,Chic Collection,Jewelry,Yoga,,2024-06-25 05:44:18,Women,True,2024-04-12,Leather,$50-100,Summer,24,Hand wash
P000006,Customer-focused uniform ability Womens Clothing,Street Smart,Womens Clothing,Formal,Accessories,2023-11-03 09:49:47,Women,True,2024-07-21,Modal,$30-50,Winter,64,Dry clean only
P000007,Organic upward-trending instruction set Formal,Metro Style,Formal,Tops,Bottoms,2024-02-03 05:04:09,Unisex,True,2025-08-13,Silk,$50-100,Winter,15,Dry clean only
P000008,Open-source modular implementation Activewear,Fashion Forward 2,Activewear,Bottoms,,2024-06-25 19:43:10,Women,True,2024-11-23,Viscose,$50-100,Fall,33,Dry clean only
P000009,Multi-tiered bandwidth-monitored matrices Yoga,Coastal Chic 3,Yoga,Pants,,2025-05-31 15:17:19,Women,True,2025-07-28,Linen,$100-150,Winter,40,Machine wash cold
P000010,Re-engineered solution-oriented task-force Footwear,Bella Vista,Footwear,Activewear,,2025-03-13 17:53:40,Women,True,2024-03-19,Silk,$150-200,All Season,33,Dry clean only
P000011,Diverse local archive Bottoms,Coastal Chic 2,Bottoms,,,2025-06-08 18:21:45,Men,True,2025-07-13,Viscose,$30-50,Fall,78,Machine wash cold
P000012,Automated explicit adapter Formal,Coastal Chic 3,Formal,Running,Tops,2024-05-31 13:36:35,Women,True,2024-04-15,Polyester,$100-150,All Season,19,Hand wash
P000013,Customer-focused asynchronous Graphical User Interface Activewear,Chic Collection,Activewear,Accessories,Running,2024-02-06 03:17:12,Men,True,2025-08-15,Viscose,$100-150,Winter,32,Machine wash cold
P000014,Multi-tiered cohesive superstructure Running,Modern Muse,Running,Pants,Accessories,2023-11-24 06:26:33,Men,True,2024-11-23,Linen,$30-50,Summer,94,Machine wash warm
P000015,Cross-group global policy Yoga,Trend Tribe 2,Yoga,Womens Clothing,Yoga,2025-01-15 15:27:46,Women,False,2025-08-19,Viscose,$30-50,Spring,47,Dry clean only
P000016,Polarized tertiary algorithm Tops,City Casual 2,Tops,Accessories,,2024-08-27 00:44:44,Unisex,True,2025-02-14,Cotton,$50-100,Fall,26,Dry clean only
P000017,Down-sized real-time Internet solution Bottoms,Coastal Chic 3,Bottoms,Formal,,2024-01-27 00:55:22,Women,True,2023-11-06,Modal,$30-50,Summer,30,Dry clean only
P000018,Cross-platform full-range database Jewelry,Bold Basics,Jewelry,Yoga,,2024-02-21 13:51:33,Women,True,2024-08-08,Cashmere,$50-100,Summer,34,Dry clean only
P000019,Total neutral success Bottoms,Classic Craft 3,Bottoms,Womens Clothing,,2025-09-14 22:14:18,Men,True,2025-04-14,Leather,$50-100,Fall,39,Dry clean only
P000020,Quality-focused empowering protocol Womens Clothing,Pure Elegance,Womens Clothing,Jewelry,,2024-05-02 16:15:59,Unisex,True,2024-05-13,Linen,$50-100,Fall,82,Machine wash warm
P000021,Front-line bandwidth-monitored application Formal,Metro Style 3,Formal,Womens Clothing,Pants,2024-07-28 04:31:27,Women,True,2024-12-13,Linen,$100-150,Spring,13,Machine wash warm
P000022,Reactive mobile collaboration Yoga,Coastal Chic 2,Yoga,,,2023-11-08 08:20:24,Men,False,2024-07-02,Polyester,$50-100,Winter,73,Dry clean only
P000023,Adaptive interactive array Womens Clothing,Style Studio,Womens Clothing,,Formal,2024-05-12 19:05:44,Men,True,2025-06-26,Silk,$50-100,Fall,55,Machine wash cold
P000024,Switchable responsive policy Accessories,Coastal Chic 3,Accessories,Running,,2024-10-04 02:15:59,Men,True,2024-02-28,Linen,$50-100,All Season,39,Machine wash warm
P000025,Cross-platform 4thgeneration database Jewelry,Bella Vista 2,Jewelry,Formal,Jewelry,2024-02-06 16:50:20,Women,True,2025-02-02,Cashmere,$30-50,Summer,78,Hand wash
P000026,Implemented attitude-oriented leverage Formal,Modern Muse 2,Formal,,,2025-07-13 09:17:30,Women,True,2023-12-24,Modal,$50-100,All Season,83,Hand wash
P000027,Integrated zero tolerance infrastructure Footwear,Vintage Vibe 2,Footwear,Mens Clothing,,2024-09-26 19:20:13,Women,True,2024-10-09,Wool,$50-100,Spring,36,Hand wash
P000028,Switchable empowering array Mens Clothing,Modern Muse,Mens Clothing,Mens Clothing,,2025-02-06 13:33:09,Unisex,True,2024-11-21,Cotton,$30-50,Summer,60,Machine wash cold
P000029,Networked contextually-based hub Jewelry,Vintage Vibe 2,Jewelry,,,2025-08-14 19:04:34,Women,True,2024-07-18,Cashmere,$100-150,Winter,51,Dry clean only
P000030,Multi-layered contextually-based knowledge user Running,Vintage Vibe,Running,Bottoms,,2023-10-31 16:00:57,Women,True,2024-04-17,Viscose,$30-50,Winter,6,Dry clean only
P000031,Organic maximized firmware Footwear,City Casual,Footwear,Footwear,,2024-03-20 17:45:28,Women,False,2025-07-07,Modal,$30-50,Fall,96,Machine wash warm
P000032,Future-proofed non-volatile approach Yoga,Mode Moderne 2,Yoga,,,2024-01-22 09:34:33,Unisex,False,2025-05-02,Leather,$100-150,Summer,95,Machine wash warm
P000033,Total static attitude Pants,Elite Edge 2,Pants,,,2023-12-02 13:59:46,Men,True,2025-02-25,Viscose,$100-150,Winter,80,Dry clean only
P000034,Monitored needs-based installation Footwear,Fashion Forward,Footwear,Pants,Accessories,2025-05-06 13:40:28,Unisex,True,2024-12-27,Viscose,$30-50,Spring,17,Dry clean only
P000035,Focused neutral approach Jewelry,Pure Elegance,Jewelry,Yoga,Jewelry,2025-07-11 01:53:28,Unisex,True,2024-07-22,Viscose,$50-100,Winter,53,Machine wash cold
P000036,Programmable intangible monitoring Jewelry,Street Smart,Jewelry,Activewear,,2025-03-13 16:10:14,Unisex,True,2025-07-30,Modal,$100-150,Winter,61,Machine wash cold
P000037,Phased object-oriented encoding Pants,Coastal Chic 2,Pants,,,2024-09-30 22:28:06,Women,False,2024-05-15,Cashmere,$30-50,All Season,95,Dry clean only
P000038,Configurable hybrid structure Mens Clothing,Bold Basics 2,Mens Clothing,Footwear,Accessories,2023-10-23 23:40:55,Women,True,2024-10-19,Cashmere,$50-100,Summer,59,Dry clean only
P000039,Re-engineered multi-state website Formal,Mode Moderne 2,Formal,Jewelry,,2024-12-13 21:33:22,Unisex,True,2025-03-05,Polyester,$100-150,Winter,17,Machine wash warm
P000040,Secured client-server capability Womens Clothing,Bold Basics,Womens Clothing,Accessories,Accessories,2025-05-07 03:19:03,Women,True,2024-09-08,Cashmere,$50-100,Fall,96,Machine wash warm
