product_id,product_name,brand,category_l1,category_l2,category_l3,gender_target,season,material,care_instructions,sustainability_score,price_range,launch_date,is_active,created_at
P000001,Digitized full-range synergy Yoga,Vintage Vibe 2,Yoga,Running,,Unisex,Fall,Cashmere,Dry clean only,13,$100-150,2024-03-28,t,2023-11-26 10:43:01
P000002,Monitored foreground concept Mens Clothing,Luxe Label,Mens Clothing,Tops,,Unisex,Spring,Silk,Machine wash cold,56,$100-150,2025-08-13,t,2025-02-02 03:40:37
P000003,Cross-group tertiary secured line Running,Metro Style,Running,,,Men,Summer,Silk,Machine wash warm,52,$150-200,2025-04-14,f,2025-02-04 10:02:01
P000004,Managed local access Mens Clothing,Fresh Fashion 2,Mens Clothing,,,Women,Winter,Cotton,Machine wash warm,33,$30-50,2024-03-06,t,2024-04-20 00:12:51
P000005,Fully-configurable system-worthy architecture Jewelry,Chic Collection,Jewelry,Yoga,,Women,Summer,Leather,Hand wash,24,$50-100,2024-04-12,t,2024-06-25 05:44:18
P000006,Customer-focused uniform ability Womens Clothing,Street Smart,Womens Clothing,Formal,Accessories,Women,Winter,Modal,Dry clean only,64,$30-50,2024-07-21,t,2023-11-03 09:49:47
P000007,Organic upward-trending instruction set Formal,Metro Style,Formal,Tops,Bottoms,Unisex,Winter,Silk,Dry clean only,15,$50-100,2025-08-13,t,2024-02-03 05:04:09
P000008,Open-source modular implementation Activewear,Fashion Forward 2,Activewear,Bottoms,,Women,Fall,Viscose,Dry clean only,33,$50-100,2024-11-23,t,2024-06-25 19:43:10
P000009,Multi-tiered bandwidth-monitored matrices Yoga,Coastal Chic 3,Yoga,Pants,,Women,Winter,Linen,Machine wash cold,40,$100-150,2025-07-28,t,2025-05-31 15:17:19
P000010,Re-engineered solution-oriented task-force Footwear,Bella Vista,Footwear,Activewear,,Women,All Season,Silk,Dry clean only,33,$150-200,2024-03-19,t,2025-03-13 17:53:40
P000011,Diverse local archive Bottoms,Coastal Chic 2,Bottoms,,,Men,Fall,Viscose,Machine wash cold,78,$30-50,2025-07-13,t,2025-06-08 18:21:45
P000012,Automated explicit adapter Formal,Coastal Chic 3,Formal,Running,Tops,Women,All Season,Polyester,Hand wash,19,$100-150,2024-04-15,t,2024-05-31 13:36:35
P000013,Customer-focused asynchronous Graphical User Interface Activewear,Chic Collection,Activewear,Accessories,Running,Men,Winter,Viscose,Machine wash cold,32,$100-150,2025-08-15,t,2024-02-06 03:17:12
P000014,Multi-tiered cohesive superstructure Running,Modern Muse,Running,Pants,Accessories,Men,Summer,Linen,Machine wash warm,94,$30-50,2024-11-23,t,2023-11-24 06:26:33
P000015,Cross-group global policy Yoga,Trend Tribe 2,Yoga,Womens Clothing,Yoga,Women,Spring,Viscose,Dry clean only,47,$30-50,2025-08-19,f,2025-01-15 15:27:46
P000016,Polarized tertiary algorithm Tops,City Casual 2,Tops,Accessories,,Unisex,Fall,Cotton,Dry clean only,26,$50-100,2025-02-14,t,2024-08-27 00:44:44
P000017,Down-sized real-time Internet solution Bottoms,Coastal Chic 3,Bottoms,Formal,,Women,Summer,Modal,Dry clean only,30,$30-50,2023-11-06,t,2024-01-27 00:55:22
P000018,Cross-platform full-range database Jewelry,Bold Basics,Jewelry,Yoga,,Women,Summer,Cashmere,Dry clean only,34,$50-100,2024-08-08,t,2024-02-21 13:51:33
P000019,Total neutral success Bottoms,Classic Craft 3,Bottoms,Womens Clothing,,Men,Fall,Leather,Dry clean only,39,$50-100,2025-04-14,t,2025-09-14 22:14:18
P000020,Quality-focused empowering protocol Womens Clothing,Pure Elegance,Womens Clothing,Jewelry,,Unisex,Fall,Linen,Machine wash warm,82,$50-100,2024-05-13,t,2024-05-02 16:15:59
P000021,Front-line bandwidth-monitored application Formal,Metro Style 3,Formal,Womens Clothing,Pants,Women,Spring,Linen,Machine wash warm,13,$100-150,2024-12-13,t,2024-07-28 04:31:27
P000022,Reactive mobile collaboration Yoga,Coastal Chic 2,Yoga,,,Men,Winter,Polyester,Dry clean only,73,$50-100,2024-07-02,f,2023-11-08 08:20:24
P000023,Adaptive interactive array Womens Clothing,Style Studio,Womens Clothing,,Formal,Men,Fall,Silk,Machine wash cold,55,$50-100,2025-06-26,t,2024-05-12 19:05:44
P000024,Switchable responsive policy Accessories,Coastal Chic 3,Accessories,Running,,Men,All Season,Linen,Machine wash warm,39,$50-100,2024-02-28,t,2024-10-04 02:15:59
P000025,Cross-platform 4thgeneration database Jewelry,Bella Vista 2,Jewelry,Formal,Jewelry,Women,Summer,Cashmere,Hand wash,78,$30-50,2025-02-02,t,2024-02-06 16:50:20
P000026,Implemented attitude-oriented leverage Formal,Modern Muse 2,Formal,,,Women,All Season,Modal,Hand wash,83,$50-100,2023-12-24,t,2025-07-13 09:17:30
P000027,Integrated zero tolerance infrastructure Footwear,Vintage Vibe 2,Footwear,Mens Clothing,,Women,Spring,Wool,Hand wash,36,$50-100,2024-10-09,t,2024-09-26 19:20:13
P000028,Switchable empowering array Mens Clothing,Modern Muse,Mens Clothing,Mens Clothing,,Unisex,Summer,Cotton,Machine wash cold,60,$30-50,2024-11-21,t,2025-02-06 13:33:09
P000029,Networked contextually-based hub Jewelry,Vintage Vibe 2,Jewelry,,,Women,Winter,Cashmere,Dry clean only,51,$100-150,2024-07-18,t,2025-08-14 19:04:34
P000030,Multi-layered contextually-based knowledge user Running,Vintage Vibe,Running,Bottoms,,Women,Winter,Viscose,Dry clean only,6,$30-50,2024-04-17,t,2023-10-31 16:00:57
P000031,Organic maximized firmware Footwear,City Casual,Footwear,Footwear,,Women,Fall,Modal,Machine wash warm,96,$30-50,2025-07-07,f,2024-03-20 17:45:28
P000032,Future-proofed non-volatile approach Yoga,Mode Moderne 2,Yoga,,,Unisex,Summer,Leather,Machine wash warm,95,$100-150,2025-05-02,f,2024-01-22 09:34:33
P000033,Total static attitude Pants,Elite Edge 2,Pants,,,Men,Winter,Viscose,Dry clean only,80,$100-150,2025-02-25,t,2023-12-02 13:59:46
P000034,Monitored needs-based installation Footwear,Fashion Forward,Footwear,Pants,Accessories,Unisex,Spring,Viscose,Dry clean only,17,$30-50,2024-12-27,t,2025-05-06 13:40:28
P000035,Focused neutral approach Jewelry,Pure Elegance,Jewelry,Yoga,Jewelry,Unisex,Winter,Viscose,Machine wash cold,53,$50-100,2024-07-22,t,2025-07-11 01:53:28
P000036,Programmable intangible monitoring Jewelry,Street Smart,Jewelry,Activewear,,Unisex,Winter,Modal,Machine wash cold,61,$100-150,2025-07-30,t,2025-03-13 16:10:14
P000037,Phased object-oriented encoding Pants,Coastal Chic 2,Pants,,,Women,All Season,Cashmere,Dry clean only,95,$30-50,2024-05-15,f,2024-09-30 22:28:06
P000038,Configurable hybrid structure Mens Clothing,Bold Basics 2,Mens Clothing,Footwear,Accessories,Women,Summer,Cashmere,Dry clean only,59,$50-100,2024-10-19,t,2023-10-23 23:40:55
P000039,Re-engineered multi-state website Formal,Mode Moderne 2,Formal,Jewelry,,Unisex,Winter,Polyester,Machine wash warm,17,$100-150,2025-03-05,t,2024-12-13 21:33:22
P000040,Secured client-server capability Womens Clothing,Bold Basics,Womens Clothing,Accessories,Accessories,Women,Fall,Cashmere,Machine wash warm,96,$50-100,2024-09-08,t,2025-05-07 03:19:03
P000041,Enhanced composite data-warehouse Bottoms,Style Studio,Bottoms,Yoga,,Women,Summer,Denim,Machine wash cold,83,$30-50,2024-02-22,f,2025-06-15 23:05:46
P000042,De-engineered 6thgeneration interface Running,Vintage Vibe 3,Running,Womens Clothing,,Women,All Season,Cotton,Dry clean only,19,$50-100,2025-03-09,t,2023-11-26 21:11:28
P000043,Optional dedicated product Footwear,Elite Edge,Footwear,Activewear,,Unisex,Fall,Linen,Machine wash cold,21,$50-100,2025-07-04,t,2024-01-19 20:56:47
P000044,Right-sized empowering functionalities Tops,Vintage Vibe 3,Tops,,Womens Clothing,Men,Winter,Modal,Dry clean only,50,$100-150,2025-04-12,f,2025-09-03 10:55:20
P000045,Cloned background info-mediaries Activewear,Classic Craft,Activewear,Running,Yoga,Women,Spring,Modal,Machine wash cold,72,$150-200,2024-07-30,t,2024-12-02 03:40:35
P000046,Reactive fresh-thinking focus group Formal,Coastal Chic 2,Formal,Accessories,Running,Unisex,Winter,Cashmere,Machine wash warm,13,$30-50,2024-09-15,t,2024-11-03 15:59:09
P000047,Advanced zero tolerance standardization Running,Metro Style 2,Running,,,Men,All Season,Wool,Hand wash,83,$50-100,2024-12-25,t,2025-01-22 22:56:15
P000048,Programmable zero tolerance instruction set Formal,Mode Moderne 2,Formal,,,Women,Fall,Modal,Dry clean only,41,$30-50,2024-08-12,t,2023-12-23 09:47:57
P000049,Distributed client-server open system Pants,Modern Muse,Pants,,Footwear,Men,Fall,Cashmere,Machine wash warm,3,$50-100,2024-12-21,t,2024-12-26 16:10:57
P000050,Virtual bandwidth-monitored benchmark Tops,Bella Vista 2,Tops,Accessories,,Women,Fall,Modal,Machine wash cold,71,$30-50,2025-05-23,t,2024-12-07 01:28:53
P000051,Cross-platform zero tolerance forecast Mens Clothing,Street Smart 2,Mens Clothing,Yoga,,Unisex,Winter,Silk,Machine wash warm,82,$30-50,2024-11-15,t,2025-07-31 19:12:25
P000052,Monitored incremental firmware Womens Clothing,Elite Edge 2,Womens Clothing,Mens Clothing,,Women,Fall,Modal,Hand wash,60,$50-100,2025-02-15,t,2024-07-20 12:44:38
P000053,Pre-emptive object-oriented portal Yoga,City Casual 2,Yoga,Accessories,,Unisex,Summer,Linen,Dry clean only,15,$30-50,2023-10-25,t,2024-09-28 10:31:27
P000054,Enhanced even-keeled initiative Bottoms,Bella Vista 2,Bottoms,,,Men,Summer,Silk,Machine wash warm,94,$100-150,2025-01-18,t,2024-01-16 17:54:15
P000055,Robust systemic solution Yoga,Fashion Forward,Yoga,Formal,,Women,Fall,Silk,Hand wash,29,$100-150,2023-10-26,f,2024-08-04 00:53:52
P000056,Object-based full-range solution Pants,Bold Basics,Pants,Formal,Womens Clothing,Women,Fall,Viscose,Dry clean only,89,$50-100,2023-11-03,f,2024-03-29 13:05:42
P000057,User-friendly methodical flexibility Footwear,Bella Vista 3,Footwear,Womens Clothing,,Men,Fall,Leather,Machine wash cold,23,$50-100,2024-07-11,t,2025-08-23 18:10:21
P000058,Ameliorated global utilization Footwear,Style Studio,Footwear,Bottoms,,Women,Summer,Cotton,Hand wash,19,$100-150,2024-05-24,t,2024-05-19 09:38:59
P000059,Grass-roots mobile standardization Mens Clothing,Modern Muse,Mens Clothing,Jewelry,,Women,All Season,Silk,Machine wash warm,48,$30-50,2023-12-11,t,2025-03-11 22:51:47
P000060,Focused client-driven framework Pants,Elite Edge 2,Pants,,,Women,Spring,Modal,Machine wash cold,78,$50-100,2024-09-04,t,2025-04-26 16:18:34
P000061,Vision-oriented fresh-thinking flexibility Mens Clothing,Elite Edge 3,Mens Clothing,Pants,,Men,All Season,Wool,Dry clean only,9,$30-50,2024-08-14,t,2025-04-15 02:06:06
P000062,Robust secondary array Jewelry,Bella Vista,Jewelry,Activewear,,Men,Fall,Linen,Machine wash warm,89,$30-50,2024-09-03,t,2024-02-19 23:40:16
P000063,Extended incremental support Running,Classic Craft,Running,Pants,,Men,Winter,Silk,Dry clean only,14,$30-50,2025-05-07,t,2024-10-07 07:17:28
P000064,Programmable holistic approach Tops,Urban Thread 3,Tops,,,Men,Fall,Wool,Hand wash,76,$50-100,2025-06-01,t,2024-10-31 05:37:10
P000065,Diverse asymmetric function Bottoms,Elite Edge 2,Bottoms,Pants,,Unisex,All Season,Viscose,Machine wash warm,63,$30-50,2024-10-23,f,2025-03-31 03:37:42
P000066,Open-architected client-driven time-frame Activewear,Modern Muse,Activewear,Jewelry,,Women,Spring,Cotton,Machine wash cold,29,$30-50,2024-11-06,t,2025-07-19 05:35:29
P000067,Re-contextualized 4thgeneration conglomeration Running,Elite Edge 3,Running,,,Unisex,Winter,Wool,Machine wash warm,66,$100-150,2025-08-05,t,2024-02-23 17:40:01
P000068,Exclusive analyzing encryption Tops,Fashion Forward,Tops,,,Women,Winter,Polyester,Machine wash warm,44,$50-100,2024-09-14,t,2023-10-22 16:47:06
P000069,Business-focused high-level strategy Accessories,Urban Thread 2,Accessories,Tops,,Unisex,Winter,Linen,Machine wash cold,97,$50-100,2024-04-25,t,2024-02-28 15:58:16
P000070,Multi-layered maximized middleware Bottoms,Vintage Vibe 2,Bottoms,Accessories,Jewelry,Men,All Season,Cotton,Machine wash warm,59,$30-50,2025-01-31,t,2024-07-31 07:50:11
P000071,Decentralized systemic algorithm Mens Clothing,Metro Style,Mens Clothing,Activewear,,Women,Summer,Cotton,Dry clean only,34,$100-150,2024-07-11,t,2024-04-01 22:20:56
P000072,Pre-emptive radical knowledge user Footwear,Chic Collection,Footwear,,,Unisex,Summer,Modal,Dry clean only,90,$50-100,2025-08-02,t,2024-02-11 22:41:45
P000073,Phased optimizing neural-net Formal,Mode Moderne,Formal,Jewelry,Bottoms,Women,Summer,Polyester,Hand wash,63,$50-100,2024-06-19,t,2024-06-24 16:17:35
P000074,Diverse empowering synergy Yoga,Luxe Label 2,Yoga,Footwear,,Men,Summer,Viscose,Dry clean only,49,$100-150,2025-03-14,t,2025-07-03 08:50:21
P000075,Cross-group executive algorithm Formal,Chic Collection 2,Formal,,Bottoms,Unisex,Fall,Cashmere,Hand wash,100,$100-150,2023-11-03,t,2024-07-23 06:24:09
P000076,Diverse object-oriented time-frame Pants,Bella Vista,Pants,,,Men,Summer,Leather,Machine wash warm,57,$30-50,2025-07-22,t,2024-03-11 11:29:02
P000077,Face-to-face secondary definition Accessories,Coastal Chic 2,Accessories,Formal,,Women,Summer,Silk,Machine wash warm,73,$100-150,2024-03-04,f,2025-03-06 09:27:04
P000078,Future-proofed solution-oriented installation Jewelry,Pure Elegance,Jewelry,Yoga,,Men,Winter,Cashmere,Dry clean only,84,$30-50,2023-10-11,f,2024-10-29 16:33:06
P000079,Vision-oriented zero administration software Womens Clothing,Bold Basics 2,Womens Clothing,Activewear,,Women,Spring,Leather,Machine wash warm,67,$50-100,2024-09-28,t,2023-10-03 22:09:59
P000080,De-engineered secondary conglomeration Yoga,Bella Vista,Yoga,Running,,Women,Fall,Linen,Machine wash warm,79,$30-50,2025-06-09,t,2025-01-05 22:23:39
P000081,Advanced directional extranet Bottoms,Urban Thread 3,Bottoms,,,Men,Fall,Cashmere,Machine wash warm,80,$50-100,2025-06-12,t,2025-01-11 12:38:52
P000082,Integrated transitional strategy Womens Clothing,Pure Elegance 2,Womens Clothing,Mens Clothing,,Men,Spring,Silk,Machine wash cold,55,$30-50,2024-04-26,f,2025-02-07 05:50:38
P000083,Optimized homogeneous hardware Running,Elite Edge 3,Running,,Tops,Men,Spring,Cotton,Machine wash cold,41,$30-50,2024-04-08,t,2024-09-17 12:38:21
P000084,Extended maximized framework Accessories,Chic Collection,Accessories,Tops,Jewelry,Women,Summer,Wool,Machine wash cold,22,$100-150,2024-11-03,t,2025-03-06 00:08:50
P000085,Secured hybrid paradigm Jewelry,Mode Moderne 2,Jewelry,Mens Clothing,,Men,Winter,Silk,Hand wash,81,$100-150,2023-10-01,t,2023-12-15 11:31:55
P000086,Profound stable hub Pants,Vintage Vibe 2,Pants,Footwear,,Men,Spring,Wool,Hand wash,56,$50-100,2025-02-09,t,2024-12-06 02:36:55
P000087,Right-sized real-time forecast Pants,Fashion Forward 2,Pants,Jewelry,,Women,Summer,Linen,Machine wash warm,49,$50-100,2025-03-10,t,2024-05-15 20:17:26
P000088,Customer-focused mission-critical architecture Mens Clothing,Sunset Styles,Mens Clothing,Accessories,,Women,Spring,Linen,Machine wash warm,84,$30-50,2024-04-27,f,2024-06-14 05:04:39
P000089,Sharable fresh-thinking focus group Womens Clothing,Fashion Forward,Womens Clothing,Running,,Unisex,Winter,Modal,Dry clean only,36,$50-100,2025-02-16,f,2024-04-16 20:25:38
P000090,Universal solution-oriented framework Accessories,Chic Collection 2,Accessories,Mens Clothing,,Unisex,Spring,Wool,Machine wash cold,80,$50-100,2024-01-20,t,2024-02-20 07:34:57
P000091,Programmable well-modulated encoding Footwear,Mode Moderne,Footwear,Accessories,,Men,Fall,Linen,Machine wash warm,95,$50-100,2023-11-09,t,2025-08-25 19:40:41
P000092,Right-sized impactful protocol Mens Clothing,Bold Basics,Mens Clothing,Formal,,Men,Fall,Viscose,Hand wash,21,$50-100,2025-03-07,t,2024-06-01 05:48:21
P000093,Devolved uniform algorithm Pants,Fresh Fashion 2,Pants,,,Women,Summer,Polyester,Dry clean only,96,$100-150,2024-10-16,t,2025-02-17 01:50:53
P000094,Implemented empowering instruction set Yoga,Metro Style 3,Yoga,Jewelry,,Women,Spring,Denim,Machine wash cold,50,$30-50,2024-07-23,t,2024-08-06 06:33:58
P000095,User-centric 5thgeneration paradigm Formal,Style Studio,Formal,Accessories,,Men,Winter,Modal,Hand wash,81,$30-50,2024-12-13,t,2025-03-29 23:39:29
P000096,Ergonomic global success Running,Sunset Styles,Running,Womens Clothing,,Unisex,All Season,Denim,Machine wash cold,28,$150-200,2024-03-16,f,2025-04-03 02:27:48
P000097,Synergized national productivity Footwear,Bella Vista 3,Footwear,,,Unisex,Spring,Wool,Hand wash,4,$50-100,2024-09-29,t,2025-05-28 15:50:15
P000098,Synchronized heuristic middleware Bottoms,Bold Basics 2,Bottoms,Formal,Footwear,Women,Winter,Viscose,Dry clean only,75,$150-200,2025-07-13,t,2024-05-17 04:19:59
P000099,Down-sized stable open architecture Running,Sunset Styles 2,Running,Footwear,,Women,Spring,Linen,Hand wash,88,$150-200,2024-05-11,f,2024-02-14 16:54:47
P000100,Cross-platform methodical capacity Footwear,Street Smart,Footwear,Mens Clothing,,Unisex,All Season,Denim,Hand wash,82,$100-150,2024-04-13,t,2025-04-24 12:01:31
P000101,Up-sized next generation task-force Jewelry,Metro Style,Jewelry,Bottoms,,Women,Summer,Polyester,Machine wash cold,82,$50-100,2024-02-15,t,2025-09-04 20:51:17
P000102,Synergized full-range projection Accessories,Metro Style,Accessories,Tops,,Unisex,Summer,Viscose,Dry clean only,75,$50-100,2024-03-16,t,2023-12-05 08:57:55
P000103,Multi-channeled directional synergy Accessories,Pure Elegance,Accessories,,,Women,Summer,Linen,Hand wash,16,$50-100,2024-05-21,t,2025-08-03 20:58:13
P000104,Operative zero tolerance groupware Bottoms,Bold Basics,Bottoms,Womens Clothing,Accessories,Unisex,All Season,Silk,Machine wash cold,41,$50-100,2024-04-15,t,2024-07-11 16:57:31
P000105,Reduced explicit Local Area Network Pants,Bold Basics,Pants,Yoga,,Men,Winter,Polyester,Hand wash,57,$30-50,2023-12-26,t,2025-07-19 04:04:23
P000106,Phased actuating productivity Activewear,Luxe Label 2,Activewear,Formal,Activewear,Men,Fall,Viscose,Machine wash cold,58,$150-200,2024-12-19,t,2024-12-23 06:54:55
P000107,Secured asynchronous leverage Footwear,Metro Style,Footwear,,,Women,Spring,Leather,Hand wash,10,$50-100,2024-02-24,t,2025-08-17 20:23:58
P000108,Profit-focused bottom-line software Tops,Chic Collection 2,Tops,Pants,,Unisex,Winter,Denim,Hand wash,76,$100-150,2024-11-10,t,2024-07-19 11:07:33
P000109,Innovative incremental application Formal,Vintage Vibe 2,Formal,Bottoms,,Men,Summer,Viscose,Machine wash warm,55,$100-150,2025-07-20,t,2025-08-03 10:06:02
P000110,Distributed client-driven customer loyalty Jewelry,Pure Elegance,Jewelry,Footwear,,Women,Winter,Denim,Hand wash,40,$30-50,2024-08-08,t,2024-06-19 04:07:32
P000111,Re-contextualized logistical circuit Tops,Metro Style 2,Tops,Footwear,Bottoms,Unisex,Fall,Polyester,Machine wash cold,16,$100-150,2025-07-26,t,2024-05-29 18:06:40
P000112,Universal contextually-based time-frame Formal,Fashion Forward 2,Formal,Running,Accessories,Unisex,Spring,Cashmere,Hand wash,36,$150-200,2024-10-08,t,2023-11-28 18:43:51
P000113,Managed responsive conglomeration Bottoms,Coastal Chic 2,Bottoms,Mens Clothing,Footwear,Men,Fall,Polyester,Hand wash,71,$50-100,2025-01-30,t,2024-05-27 10:45:28
P000114,Centralized 24hour knowledge user Pants,City Casual,Pants,Jewelry,,Men,All Season,Modal,Machine wash cold,86,$50-100,2024-03-06,f,2024-04-26 11:13:30
P000115,Virtual zero-defect concept Running,Chic Collection 2,Running,,Tops,Men,Fall,Linen,Machine wash cold,44,$100-150,2025-05-11,t,2024-12-17 14:54:49
P000116,Diverse mobile toolset Tops,Bold Basics,Tops,Jewelry,Yoga,Unisex,Spring,Cotton,Dry clean only,95,$50-100,2025-05-23,t,2025-05-12 02:15:25
P000117,Cross-group clear-thinking pricing structure Jewelry,Classic Craft 2,Jewelry,Tops,,Women,All Season,Modal,Machine wash cold,10,$30-50,2025-01-30,t,2024-08-28 21:15:46
P000118,Optimized impactful interface Tops,Vintage Vibe,Tops,,Bottoms,Men,Winter,Cashmere,Machine wash warm,77,$30-50,2024-07-19,t,2024-10-01 19:40:56
P000119,Adaptive 5thgeneration monitoring Pants,Sunset Styles 2,Pants,Formal,Jewelry,Men,Winter,Modal,Hand wash,67,$50-100,2025-04-15,t,2024-02-28 21:38:49
P000120,Multi-layered 24/7 Graphic Interface Mens Clothing,Coastal Chic,Mens Clothing,Activewear,Mens Clothing,Women,Summer,Silk,Hand wash,97,$50-100,2025-07-04,t,2025-05-06 20:57:37
P000121,Progressive content-based adapter Accessories,Chic Collection,Accessories,Footwear,,Women,All Season,Cashmere,Dry clean only,90,$30-50,2023-09-29,t,2025-03-05 15:47:45
P000122,Self-enabling upward-trending encryption Formal,Luxe Label 2,Formal,,,Unisex,Winter,Cotton,Machine wash warm,2,$50-100,2025-03-17,t,2024-03-20 18:11:40
P000123,Monitored fault-tolerant capacity Accessories,Classic Craft,Accessories,Activewear,,Women,Spring,Linen,Machine wash cold,51,$50-100,2024-07-19,t,2023-12-15 18:54:58
P000124,Profit-focused optimizing function Tops,Bella Vista 2,Tops,,,Men,Spring,Denim,Machine wash cold,55,$30-50,2023-11-15,t,2024-02-03 17:46:41
